filepath,filename,coupling,interaction_class,potential,source,sector,contains_antimatter,label
/home/user/spindep_framework/spindep/datasets/normalized/gVgV/gV_squareV1bounds/V1_gse_EMM.csv,V1_gse_EMM,gVgV,gV_squareV1bounds,V1,gseUNKNOWN,eN,False,gseUNKNOWN (e-N)
/home/user/spindep_framework/spindep/datasets/normalized/gVgV/gV_squareV1bounds/V1_gse_EEP.csv,V1_gse_EEP,gVgV,gV_squareV1bounds,V1,gseUNKNOWN,eN,False,gseUNKNOWN (e-N)
/home/user/spindep_framework/spindep/datasets/normalized/gVgV/gV_squareV1bounds/V1_gsN_EEP.csv,V1_gsN_EEP,gVgV,gV_squareV1bounds,V1,gsNUNKNOWN,eN,False,gsNUNKNOWN (e-N)
/home/user/spindep_framework/spindep/datasets/normalized/gVgV/gV_squareV1bounds/V1_gse_Torsion.csv,V1_gse_Torsion,gVgV,gV_squareV1bounds,V1,gseUNKNOWN,ee,False,gseUNKNOWN (e⁻-e⁻)
/home/user/spindep_framework/spindep/datasets/normalized/gVgV/gV_squareV1bounds/V1_gsN_Torsion.csv,V1_gsN_Torsion,gVgV,gV_squareV1bounds,V1,gsNUNKNOWN,ee,False,gsNUNKNOWN (e⁻-e⁻)
/home/user/spindep_framework/spindep/datasets/normalized/gVgV/gV_squareV1bounds/V1_gse_Casimir.csv,V1_gse_Casimir,gVgV,gV_squareV1bounds,V1,gseUNKNOWN,ee,False,gseUNKNOWN (e⁻-e⁻)
/home/user/spindep_framework/spindep/datasets/normalized/gVgV/gV_squareV1bounds/V1_gsN_MS.csv,V1_gsN_MS,gVgV,gV_squareV1bounds,V1,gsNUNKNOWN,nN,False,gsNUNKNOWN (n-N)
/home/user/spindep_framework/spindep/datasets/normalized/gVgV/lepton-lepton/3Fadeev_2022_3_m_abs_emubar.csv,3Fadeev_2022_3_m_abs_emubar,gVgV,lepton-lepton,V3,Fadeev2022,emubar,True,Fadeev2022 (e-μ̄)
/home/user/spindep_framework/spindep/datasets/normalized/gVgV/lepton-lepton/3Terrano_2015_m_abs_eN.csv,3Terrano_2015_m_abs_eN,gVgV,lepton-lepton,V3,Terrano2015,eN,False,Terrano2015 (e-N)
/home/user/spindep_framework/spindep/datasets/normalized/gVgV/lepton-lepton/3Fadeev_2022_4_m_abs_ee.csv,3Fadeev_2022_4_m_abs_ee,gVgV,lepton-lepton,V4,Fadeev2022,ee,False,Fadeev2022 (e⁻-e⁻)
/home/user/spindep_framework/spindep/datasets/normalized/gVgV/lepton-lepton/45Ficek_2017_V4+5_m_abs_ee.csv,45Ficek_2017_V4+5_m_abs_ee,gVgV,lepton-lepton,V4+5,Ficek2017,ee,False,Ficek2017 (e⁻-e⁻)
/home/user/spindep_framework/spindep/datasets/normalized/gVgV/lepton-lepton/3Fadeev_2022_2_m_abs_ebare.csv,3Fadeev_2022_2_m_abs_ebare,gVgV,lepton-lepton,V2,Fadeev2022,eebar,True,Fadeev2022 (e⁻-e⁺)
/home/user/spindep_framework/spindep/datasets/normalized/gVgV/lepton-lepton/1aeeastro_m_abs.csv,1aeeastro_m_abs,gVgV,lepton-lepton,V1a,eeastroUNKNOWN,UNKNOWN,False,eeastroUNKNOWN (UNKNOWN)
/home/user/spindep_framework/spindep/datasets/normalized/gAgA/lepton-nucleon/electron-neutron/1a_eNastro_m_abs.csv,1a_eNastro_m_abs,gAgA,lepton-nucleon,V1a,eNastroUNKNOWN,eNastro,False,eNastroUNKNOWN (e-N (astro))
/home/user/spindep_framework/spindep/datasets/normalized/gAgA/lepton-nucleon/electron-neutron/3Almasi_2020_m_abs_en.csv,3Almasi_2020_m_abs_en,gAgA,lepton-nucleon,V3,Almasi2020,en,False,Almasi2020 (e-n)
/home/user/spindep_framework/spindep/datasets/normalized/gAgA/lepton-nucleon/electron-neutron/8Hunter_2014_3_m_abs_en.csv,8Hunter_2014_3_m_abs_en,gAgA,lepton-nucleon,V3,Hunter2014,en,False,Hunter2014 (e-n)
/home/user/spindep_framework/spindep/datasets/normalized/gAgA/lepton-nucleon/electron-neutron/2Hunter_2013_3_m_abs_en.csv,2Hunter_2013_3_m_abs_en,gAgA,lepton-nucleon,V3,Hunter2013,en,False,Hunter2013 (e-n)
/home/user/spindep_framework/spindep/datasets/normalized/gAgA/lepton-nucleon/electron-neutron/2Almasi_2020_m_abs_en.csv,2Almasi_2020_m_abs_en,gAgA,lepton-nucleon,V2,Almasi2020,en,False,Almasi2020 (e-n)
/home/user/spindep_framework/spindep/datasets/normalized/gAgA/lepton-nucleon/electron-neutron/3Wang_2022_m_abs_en.csv,3Wang_2022_m_abs_en,gAgA,lepton-nucleon,V3,Wang2022,en,False,Wang2022 (e-n)
/home/user/spindep_framework/spindep/datasets/normalized/gAgA/lepton-nucleon/electron-neutron/2Karshenboim_2011_2_millionev_abs_en.csv,2Karshenboim_2011_2_millionev_abs_en,gAgA,lepton-nucleon,V2,Karshenboim2011,en,False,Karshenboim2011 (e-n)
